    1  0.10000921E+001  0.99998334E-002 -0.14264785E-011
    2  0.10000920E+001  0.99998334E-002 -0.14264789E-011
    3  0.10000919E+001  0.99998334E-002 -0.14264793E-011
    4  0.10000917E+001  0.99998334E-002 -0.14264797E-011
    5  0.10000916E+001  0.99998334E-002 -0.14264801E-011
    6  0.10000914E+001  0.99998334E-002 -0.14264805E-011
    7  0.10000913E+001  0.99998334E-002 -0.14264809E-011
    8  0.10000912E+001  0.99998334E-002 -0.14264813E-011
    9  0.10000910E+001  0.99998334E-002 -0.14264817E-011
   10  0.10000909E+001  0.99998334E-002 -0.14264821E-011
   11  0.10000907E+001  0.99998334E-002 -0.14264825E-011
   12  0.10000906E+001  0.99998334E-002 -0.14264829E-011
   13  0.10000904E+001  0.99998334E-002 -0.14264833E-011
   14  0.10000903E+001  0.99998334E-002 -0.14264837E-011
   15  0.10000902E+001  0.99998334E-002 -0.14264841E-011
   16  0.10000900E+001  0.99998334E-002 -0.14264845E-011
   17  0.10000899E+001  0.99998334E-002 -0.14264849E-011
   18  0.10000897E+001  0.99998334E-002 -0.14264854E-011
   19  0.10000896E+001  0.99998334E-002 -0.14264858E-011
   20  0.10000894E+001  0.99998334E-002 -0.14264862E-011
   21  0.10000893E+001  0.99998334E-002 -0.14264866E-011
   22  0.10000892E+001  0.99998334E-002 -0.14264870E-011
   23  0.10000890E+001  0.99998334E-002 -0.14264874E-011
   24  0.10000889E+001  0.99998334E-002 -0.14264878E-011
   25  0.10000887E+001  0.99998334E-002 -0.14264882E-011
   26  0.10000886E+001  0.99998334E-002 -0.14264886E-011
   27  0.10000885E+001  0.99998334E-002 -0.14264890E-011
   28  0.10000883E+001  0.99998334E-002 -0.14264894E-011
   29  0.10000882E+001  0.99998334E-002 -0.14264898E-011
   30  0.10000880E+001  0.99998334E-002 -0.14264902E-011
   31  0.10000879E+001  0.99998334E-002 -0.14264906E-011
   32  0.10000877E+001  0.99998334E-002 -0.14264910E-011
   33  0.10000876E+001  0.99998334E-002 -0.14264914E-011
   34  0.10000875E+001  0.99998334E-002 -0.14264918E-011
   35  0.10000873E+001  0.99998334E-002 -0.14264922E-011
   36  0.10000872E+001  0.99998334E-002 -0.14264926E-011
   37  0.10000870E+001  0.99998334E-002 -0.14264930E-011
   38  0.10000869E+001  0.99998334E-002 -0.14264934E-011
   39  0.10000867E+001  0.99998334E-002 -0.14264938E-011
   40  0.10000866E+001  0.99998334E-002 -0.14264942E-011
   41  0.10000865E+001  0.99998334E-002 -0.14264946E-011
   42  0.10000863E+001  0.99998334E-002 -0.14264950E-011
   43  0.10000862E+001  0.99998334E-002 -0.14264955E-011
   44  0.10000860E+001  0.99998334E-002 -0.14264959E-011
   45  0.10000859E+001  0.99998334E-002 -0.14264963E-011
   46  0.10000858E+001  0.99998334E-002 -0.14264967E-011
   47  0.10000856E+001  0.99998334E-002 -0.14264971E-011
   48  0.10000855E+001  0.99998334E-002 -0.14264975E-011
   49  0.10000853E+001  0.99998334E-002 -0.14264979E-011
   50  0.10000852E+001  0.99998334E-002 -0.14264983E-011
   51  0.10000850E+001  0.99998334E-002 -0.14264987E-011
   52  0.10000849E+001  0.99998334E-002 -0.14264991E-011
   53  0.10000848E+001  0.99998334E-002 -0.14264995E-011
   54  0.10000846E+001  0.99998334E-002 -0.14264999E-011
   55  0.10000845E+001  0.99998334E-002 -0.14265003E-011
   56  0.10000843E+001  0.99998334E-002 -0.14265007E-011
   57  0.10000842E+001  0.99998334E-002 -0.14265011E-011
   58  0.10000840E+001  0.99998334E-002 -0.14265015E-011
   59  0.10000839E+001  0.99998334E-002 -0.14265019E-011
   60  0.10000838E+001  0.99998334E-002 -0.14265023E-011
   61  0.10000836E+001  0.99998334E-002 -0.14265027E-011
   62  0.10000835E+001  0.99998334E-002 -0.14265031E-011
   63  0.10000833E+001  0.99998334E-002 -0.14265035E-011
   64  0.10000832E+001  0.99998334E-002 -0.14265039E-011
   65  0.10000831E+001  0.99998334E-002 -0.14265043E-011
   66  0.10000829E+001  0.99998334E-002 -0.14265047E-011
   67  0.10000828E+001  0.99998334E-002 -0.14265051E-011
   68  0.10000826E+001  0.99998334E-002 -0.14265056E-011
   69  0.10000825E+001  0.99998334E-002 -0.14265060E-011
   70  0.10000823E+001  0.99998334E-002 -0.14265064E-011
   71  0.10000822E+001  0.99998334E-002 -0.14265068E-011
   72  0.10000821E+001  0.99998334E-002 -0.14265072E-011
   73  0.10000819E+001  0.99998334E-002 -0.14265076E-011
   74  0.10000818E+001  0.99998334E-002 -0.14265080E-011
   75  0.10000816E+001  0.99998334E-002 -0.14265084E-011
