    0.000000 -0.60000000E+000 -0.60000000E+000  0.00000000E+000
    0.001000 -0.60000185E+000 -0.60000185E+000  0.99999546E-003
    0.002000 -0.60000738E+000 -0.60000738E+000  0.19999637E-002
    0.003000 -0.60001661E+000 -0.60001661E+000  0.29998773E-002
    0.004000 -0.60002953E+000 -0.60002953E+000  0.39997092E-002
    0.005000 -0.60004614E+000 -0.60004614E+000  0.49994321E-002
    0.006000 -0.60006645E+000 -0.60006645E+000  0.59990188E-002
    0.007000 -0.60009044E+000 -0.60009044E+000  0.69984419E-002
    0.008000 -0.60011812E+000 -0.60011812E+000  0.79976743E-002
    0.009000 -0.60014948E+000 -0.60014948E+000  0.89966887E-002
    0.010000 -0.60018454E+000 -0.60018454E+000  0.99954580E-002
    0.011000 -0.60022328E+000 -0.60022328E+000  0.10993955E-001
    0.012000 -0.60026570E+000 -0.60026570E+000  0.11992152E-001
    0.013000 -0.60031181E+000 -0.60031181E+000  0.12990023E-001
    0.014000 -0.60036160E+000 -0.60036160E+000  0.13987540E-001
    0.015000 -0.60041507E+000 -0.60041507E+000  0.14984676E-001
    0.016000 -0.60047221E+000 -0.60047221E+000  0.15981404E-001
    0.017000 -0.60053304E+000 -0.60053304E+000  0.16977696E-001
    0.018000 -0.60059753E+000 -0.60059753E+000  0.17973527E-001
    0.019000 -0.60066570E+000 -0.60066570E+000  0.18968868E-001
    0.020000 -0.60073754E+000 -0.60073754E+000  0.19963693E-001
    0.021000 -0.60081304E+000 -0.60081304E+000  0.20957975E-001
    0.022000 -0.60089221E+000 -0.60089221E+000  0.21951686E-001
    0.023000 -0.60097504E+000 -0.60097504E+000  0.22944800E-001
    0.024000 -0.60106153E+000 -0.60106153E+000  0.23937291E-001
    0.025000 -0.60115168E+000 -0.60115168E+000  0.24929130E-001
    0.026000 -0.60124547E+000 -0.60124547E+000  0.25920291E-001
    0.027000 -0.60134292E+000 -0.60134292E+000  0.26910749E-001
    0.028000 -0.60144402E+000 -0.60144402E+000  0.27900474E-001
    0.029000 -0.60154876E+000 -0.60154876E+000  0.28889442E-001
    0.030000 -0.60165714E+000 -0.60165714E+000  0.29877625E-001
    0.031000 -0.60176915E+000 -0.60176915E+000  0.30864997E-001
    0.032000 -0.60188480E+000 -0.60188480E+000  0.31851531E-001
    0.033000 -0.60200407E+000 -0.60200407E+000  0.32837200E-001
    0.034000 -0.60212698E+000 -0.60212698E+000  0.33821979E-001
    0.035000 -0.60225350E+000 -0.60225350E+000  0.34805840E-001
    0.036000 -0.60238364E+000 -0.60238364E+000  0.35788757E-001
    0.037000 -0.60251738E+000 -0.60251738E+000  0.36770703E-001
    0.038000 -0.60265474E+000 -0.60265474E+000  0.37751654E-001
    0.039000 -0.60279570E+000 -0.60279570E+000  0.38731581E-001
    0.040000 -0.60294026E+000 -0.60294026E+000  0.39710460E-001
    0.041000 -0.60308842E+000 -0.60308842E+000  0.40688263E-001
    0.042000 -0.60324016E+000 -0.60324016E+000  0.41664965E-001
    0.043000 -0.60339548E+000 -0.60339548E+000  0.42640540E-001
    0.044000 -0.60355439E+000 -0.60355439E+000  0.43614961E-001
    0.045000 -0.60371686E+000 -0.60371686E+000  0.44588203E-001
    0.046000 -0.60388291E+000 -0.60388291E+000  0.45560240E-001
    0.047000 -0.60405251E+000 -0.60405251E+000  0.46531046E-001
    0.048000 -0.60422568E+000 -0.60422568E+000  0.47500596E-001
    0.049000 -0.60440239E+000 -0.60440239E+000  0.48468863E-001
    0.050000 -0.60458266E+000 -0.60458266E+000  0.49435822E-001
    0.051000 -0.60476646E+000 -0.60476646E+000  0.50401447E-001
    0.052000 -0.60495379E+000 -0.60495379E+000  0.51365714E-001
    0.053000 -0.60514465E+000 -0.60514465E+000  0.52328596E-001
    0.054000 -0.60533903E+000 -0.60533903E+000  0.53290068E-001
    0.055000 -0.60553693E+000 -0.60553693E+000  0.54250105E-001
    0.056000 -0.60573834E+000 -0.60573834E+000  0.55208682E-001
    0.057000 -0.60594324E+000 -0.60594324E+000  0.56165773E-001
    0.058000 -0.60615164E+000 -0.60615164E+000  0.57121354E-001
    0.059000 -0.60636354E+000 -0.60636354E+000  0.58075400E-001
    0.060000 -0.60657891E+000 -0.60657891E+000  0.59027885E-001
    0.061000 -0.60679775E+000 -0.60679775E+000  0.59978784E-001
    0.062000 -0.60702007E+000 -0.60702007E+000  0.60928074E-001
    0.063000 -0.60724584E+000 -0.60724584E+000  0.61875729E-001
    0.064000 -0.60747507E+000 -0.60747507E+000  0.62821725E-001
    0.065000 -0.60770774E+000 -0.60770774E+000  0.63766037E-001
    0.066000 -0.60794385E+000 -0.60794385E+000  0.64708641E-001
    0.067000 -0.60818339E+000 -0.60818339E+000  0.65649512E-001
    0.068000 -0.60842635E+000 -0.60842635E+000  0.66588627E-001
    0.069000 -0.60867273E+000 -0.60867273E+000  0.67525960E-001
    0.070000 -0.60892251E+000 -0.60892251E+000  0.68461489E-001
    0.071000 -0.60917570E+000 -0.60917570E+000  0.69395188E-001
    0.072000 -0.60943227E+000 -0.60943227E+000  0.70327034E-001
    0.073000 -0.60969223E+000 -0.60969223E+000  0.71257003E-001
    0.074000 -0.60995556E+000 -0.60995556E+000  0.72185071E-001
    0.075000 -0.61022226E+000 -0.61022226E+000  0.73111215E-001
    0.076000 -0.61049231E+000 -0.61049231E+000  0.74035411E-001
    0.077000 -0.61076572E+000 -0.61076572E+000  0.74957636E-001
    0.078000 -0.61104246E+000 -0.61104246E+000  0.75877866E-001
    0.079000 -0.61132254E+000 -0.61132254E+000  0.76796078E-001
    0.080000 -0.61160594E+000 -0.61160594E+000  0.77712248E-001
    0.081000 -0.61189265E+000 -0.61189265E+000  0.78626354E-001
    0.082000 -0.61218266E+000 -0.61218266E+000  0.79538373E-001
    0.083000 -0.61247598E+000 -0.61247598E+000  0.80448281E-001
    0.084000 -0.61277258E+000 -0.61277258E+000  0.81356057E-001
    0.085000 -0.61307245E+000 -0.61307245E+000  0.82261676E-001
    0.086000 -0.61337560E+000 -0.61337560E+000  0.83165117E-001
    0.087000 -0.61368200E+000 -0.61368200E+000  0.84066357E-001
    0.088000 -0.61399165E+000 -0.61399165E+000  0.84965373E-001
    0.089000 -0.61430454E+000 -0.61430454E+000  0.85862144E-001
    0.090000 -0.61462066E+000 -0.61462066E+000  0.86756646E-001
    0.091000 -0.61494000E+000 -0.61494000E+000  0.87648859E-001
    0.092000 -0.61526255E+000 -0.61526255E+000  0.88538759E-001
    0.093000 -0.61558829E+000 -0.61558829E+000  0.89426326E-001
    0.094000 -0.61591723E+000 -0.61591723E+000  0.90311536E-001
    0.095000 -0.61624935E+000 -0.61624935E+000  0.91194369E-001
    0.096000 -0.61658464E+000 -0.61658464E+000  0.92074802E-001
    0.097000 -0.61692308E+000 -0.61692308E+000  0.92952815E-001
    0.098000 -0.61726468E+000 -0.61726468E+000  0.93828386E-001
    0.099000 -0.61760941E+000 -0.61760941E+000  0.94701493E-001
    0.100000 -0.61795727E+000 -0.61795727E+000  0.95572116E-001
    0.101000 -0.61830825E+000 -0.61830825E+000  0.96440233E-001
    0.102000 -0.61866233E+000 -0.61866233E+000  0.97305823E-001
    0.103000 -0.61901951E+000 -0.61901951E+000  0.98168866E-001
    0.104000 -0.61937978E+000 -0.61937978E+000  0.99029341E-001
    0.105000 -0.61974312E+000 -0.61974312E+000  0.99887227E-001
    0.106000 -0.62010952E+000 -0.62010952E+000  0.10074250E+000
    0.107000 -0.62047897E+000 -0.62047897E+000  0.10159515E+000
    0.108000 -0.62085147E+000 -0.62085147E+000  0.10244515E+000
    0.109000 -0.62122699E+000 -0.62122699E+000  0.10329247E+000
    0.110000 -0.62160553E+000 -0.62160553E+000  0.10413711E+000
    0.111000 -0.62198708E+000 -0.62198708E+000  0.10497903E+000
    0.112000 -0.62237163E+000 -0.62237163E+000  0.10581822E+000
    0.113000 -0.62275916E+000 -0.62275916E+000  0.10665467E+000
    0.114000 -0.62314966E+000 -0.62314966E+000  0.10748834E+000
    0.115000 -0.62354313E+000 -0.62354313E+000  0.10831923E+000
    0.116000 -0.62393954E+000 -0.62393954E+000  0.10914730E+000
    0.117000 -0.62433889E+000 -0.62433889E+000  0.10997255E+000
    0.118000 -0.62474117E+000 -0.62474117E+000  0.11079495E+000
    0.119000 -0.62514636E+000 -0.62514636E+000  0.11161449E+000
    0.120000 -0.62555446E+000 -0.62555446E+000  0.11243114E+000
    0.121000 -0.62596544E+000 -0.62596544E+000  0.11324488E+000
    0.122000 -0.62637931E+000 -0.62637931E+000  0.11405570E+000
    0.123000 -0.62679604E+000 -0.62679604E+000  0.11486358E+000
    0.124000 -0.62721562E+000 -0.62721562E+000  0.11566850E+000
    0.125000 -0.62763805E+000 -0.62763805E+000  0.11647044E+000
    0.126000 -0.62806330E+000 -0.62806330E+000  0.11726939E+000
    0.127000 -0.62849138E+000 -0.62849138E+000  0.11806531E+000
    0.128000 -0.62892226E+000 -0.62892226E+000  0.11885821E+000
    0.129000 -0.62935593E+000 -0.62935593E+000  0.11964806E+000
    0.130000 -0.62979238E+000 -0.62979238E+000  0.12043483E+000
    0.131000 -0.63023160E+000 -0.63023160E+000  0.12121852E+000
    0.132000 -0.63067358E+000 -0.63067358E+000  0.12199910E+000
    0.133000 -0.63111830E+000 -0.63111830E+000  0.12277657E+000
    0.134000 -0.63156575E+000 -0.63156575E+000  0.12355089E+000
    0.135000 -0.63201591E+000 -0.63201591E+000  0.12432206E+000
    0.136000 -0.63246878E+000 -0.63246878E+000  0.12509005E+000
    0.137000 -0.63292434E+000 -0.63292434E+000  0.12585486E+000
    0.138000 -0.63338259E+000 -0.63338259E+000  0.12661645E+000
    0.139000 -0.63384349E+000 -0.63384349E+000  0.12737482E+000
    0.140000 -0.63430705E+000 -0.63430705E+000  0.12812995E+000
    0.141000 -0.63477325E+000 -0.63477325E+000  0.12888183E+000
    0.142000 -0.63524208E+000 -0.63524208E+000  0.12963043E+000
    0.143000 -0.63571352E+000 -0.63571352E+000  0.13037574E+000
    0.144000 -0.63618756E+000 -0.63618756E+000  0.13111774E+000
    0.145000 -0.63666419E+000 -0.63666419E+000  0.13185642E+000
    0.146000 -0.63714339E+000 -0.63714339E+000  0.13259176E+000
    0.147000 -0.63762516E+000 -0.63762516E+000  0.13332374E+000
    0.148000 -0.63810947E+000 -0.63810947E+000  0.13405236E+000
    0.149000 -0.63859632E+000 -0.63859632E+000  0.13477759E+000
    0.150000 -0.63908569E+000 -0.63908569E+000  0.13549942E+000
    0.151000 -0.63957756E+000 -0.63957756E+000  0.13621783E+000
    0.152000 -0.64007193E+000 -0.64007193E+000  0.13693281E+000
    0.153000 -0.64056878E+000 -0.64056878E+000  0.13764434E+000
    0.154000 -0.64106810E+000 -0.64106810E+000  0.13835241E+000
    0.155000 -0.64156987E+000 -0.64156987E+000  0.13905700E+000
    0.156000 -0.64207408E+000 -0.64207408E+000  0.13975810E+000
    0.157000 -0.64258072E+000 -0.64258072E+000  0.14045569E+000
    0.158000 -0.64308977E+000 -0.64308977E+000  0.14114976E+000
    0.159000 -0.64360122E+000 -0.64360122E+000  0.14184029E+000
    0.160000 -0.64411505E+000 -0.64411505E+000  0.14252728E+000
    0.161000 -0.64463126E+000 -0.64463126E+000  0.14321070E+000
    0.162000 -0.64514982E+000 -0.64514982E+000  0.14389054E+000
    0.163000 -0.64567073E+000 -0.64567073E+000  0.14456678E+000
    0.164000 -0.64619397E+000 -0.64619397E+000  0.14523942E+000
    0.165000 -0.64671952E+000 -0.64671952E+000  0.14590844E+000
    0.166000 -0.64724738E+000 -0.64724738E+000  0.14657383E+000
    0.167000 -0.64777752E+000 -0.64777752E+000  0.14723556E+000
    0.168000 -0.64830994E+000 -0.64830994E+000  0.14789364E+000
    0.169000 -0.64884461E+000 -0.64884461E+000  0.14854803E+000
    0.170000 -0.64938154E+000 -0.64938154E+000  0.14919874E+000
    0.171000 -0.64992069E+000 -0.64992069E+000  0.14984575E+000
    0.172000 -0.65046207E+000 -0.65046207E+000  0.15048905E+000
    0.173000 -0.65100564E+000 -0.65100564E+000  0.15112862E+000
