     1  0.10000921E+001 0.10000833E-001-0.14266211E-011
     2  0.10000920E+001 0.10000833E-001-0.14266215E-011
     3  0.10000919E+001 0.10000833E-001-0.14266219E-011
     4  0.10000917E+001 0.10000833E-001-0.14266223E-011
     5  0.10000916E+001 0.10000833E-001-0.14266227E-011
     6  0.10000914E+001 0.10000833E-001-0.14266232E-011
     7  0.10000913E+001 0.10000833E-001-0.14266236E-011
     8  0.10000911E+001 0.10000833E-001-0.14266240E-011
     9  0.10000910E+001 0.10000833E-001-0.14266244E-011
    10  0.10000909E+001 0.10000833E-001-0.14266248E-011
    11  0.10000907E+001 0.10000833E-001-0.14266252E-011
    12  0.10000906E+001 0.10000833E-001-0.14266256E-011
    13  0.10000904E+001 0.10000833E-001-0.14266260E-011
    14  0.10000903E+001 0.10000833E-001-0.14266264E-011
    15  0.10000901E+001 0.10000833E-001-0.14266268E-011
    16  0.10000900E+001 0.10000833E-001-0.14266272E-011
    17  0.10000899E+001 0.10000833E-001-0.14266276E-011
    18  0.10000897E+001 0.10000833E-001-0.14266280E-011
    19  0.10000896E+001 0.10000833E-001-0.14266284E-011
    20  0.10000894E+001 0.10000833E-001-0.14266288E-011
    21  0.10000893E+001 0.10000833E-001-0.14266292E-011
    22  0.10000892E+001 0.10000833E-001-0.14266296E-011
    23  0.10000890E+001 0.10000833E-001-0.14266300E-011
    24  0.10000889E+001 0.10000833E-001-0.14266304E-011
    25  0.10000887E+001 0.10000833E-001-0.14266308E-011
    26  0.10000886E+001 0.10000833E-001-0.14266312E-011
    27  0.10000884E+001 0.10000833E-001-0.14266316E-011
    28  0.10000883E+001 0.10000833E-001-0.14266320E-011
    29  0.10000882E+001 0.10000833E-001-0.14266324E-011
    30  0.10000880E+001 0.10000833E-001-0.14266328E-011
    31  0.10000879E+001 0.10000833E-001-0.14266333E-011
    32  0.10000877E+001 0.10000833E-001-0.14266337E-011
    33  0.10000876E+001 0.10000833E-001-0.14266341E-011
    34  0.10000874E+001 0.10000833E-001-0.14266345E-011
    35  0.10000873E+001 0.10000833E-001-0.14266349E-011
    36  0.10000872E+001 0.10000833E-001-0.14266353E-011
    37  0.10000870E+001 0.10000833E-001-0.14266357E-011
    38  0.10000869E+001 0.10000833E-001-0.14266361E-011
    39  0.10000867E+001 0.10000833E-001-0.14266365E-011
    40  0.10000866E+001 0.10000833E-001-0.14266369E-011
    41  0.10000865E+001 0.10000833E-001-0.14266373E-011
    42  0.10000863E+001 0.10000833E-001-0.14266377E-011
    43  0.10000862E+001 0.10000833E-001-0.14266381E-011
    44  0.10000860E+001 0.10000833E-001-0.14266385E-011
    45  0.10000859E+001 0.10000833E-001-0.14266389E-011
    46  0.10000857E+001 0.10000833E-001-0.14266393E-011
    47  0.10000856E+001 0.10000833E-001-0.14266397E-011
    48  0.10000855E+001 0.10000833E-001-0.14266401E-011
    49  0.10000853E+001 0.10000833E-001-0.14266405E-011
    50  0.10000852E+001 0.10000833E-001-0.14266409E-011
    51  0.10000850E+001 0.10000833E-001-0.14266413E-011
    52  0.10000849E+001 0.10000833E-001-0.14266417E-011
    53  0.10000847E+001 0.10000833E-001-0.14266421E-011
    54  0.10000846E+001 0.10000833E-001-0.14266425E-011
    55  0.10000845E+001 0.10000833E-001-0.14266430E-011
    56  0.10000843E+001 0.10000833E-001-0.14266434E-011
    57  0.10000842E+001 0.10000833E-001-0.14266438E-011
    58  0.10000840E+001 0.10000833E-001-0.14266442E-011
    59  0.10000839E+001 0.10000833E-001-0.14266446E-011
    60  0.10000838E+001 0.10000833E-001-0.14266450E-011
    61  0.10000836E+001 0.10000833E-001-0.14266454E-011
    62  0.10000835E+001 0.10000833E-001-0.14266458E-011
    63  0.10000833E+001 0.10000833E-001-0.14266462E-011
    64  0.10000832E+001 0.10000833E-001-0.14266466E-011
    65  0.10000830E+001 0.10000833E-001-0.14266470E-011
    66  0.10000829E+001 0.10000833E-001-0.14266474E-011
    67  0.10000828E+001 0.10000833E-001-0.14266478E-011
    68  0.10000826E+001 0.10000833E-001-0.14266482E-011
    69  0.10000825E+001 0.10000833E-001-0.14266486E-011
    70  0.10000823E+001 0.10000833E-001-0.14266490E-011
    71  0.10000822E+001 0.10000833E-001-0.14266494E-011
    72  0.10000820E+001 0.10000833E-001-0.14266498E-011
    73  0.10000819E+001 0.10000833E-001-0.14266502E-011
    74  0.10000818E+001 0.10000833E-001-0.14266506E-011
    75  0.10000816E+001 0.10000833E-001-0.14266510E-011
    76  0.10000815E+001 0.10000833E-001-0.14266514E-011
    77  0.10000813E+001 0.10000833E-001-0.14266518E-011
    78  0.10000812E+001 0.10000833E-001-0.14266522E-011
    79  0.10000811E+001 0.10000833E-001-0.14266526E-011
    80  0.10000809E+001 0.10000833E-001-0.14266531E-011
    81  0.10000808E+001 0.10000833E-001-0.14266535E-011
    82  0.10000806E+001 0.10000833E-001-0.14266539E-011
    83  0.10000805E+001 0.10000833E-001-0.14266543E-011
    84  0.10000803E+001 0.10000833E-001-0.14266547E-011
    85  0.10000802E+001 0.10000833E-001-0.14266551E-011
    86  0.10000801E+001 0.10000833E-001-0.14266555E-011
    87  0.10000799E+001 0.10000833E-001-0.14266559E-011
    88  0.10000798E+001 0.10000833E-001-0.14266563E-011
    89  0.10000796E+001 0.10000833E-001-0.14266567E-011
    90  0.10000795E+001 0.10000833E-001-0.14266571E-011
    91  0.10000793E+001 0.10000833E-001-0.14266575E-011
    92  0.10000792E+001 0.10000833E-001-0.14266579E-011
    93  0.10000791E+001 0.10000833E-001-0.14266583E-011
    94  0.10000789E+001 0.10000833E-001-0.14266587E-011
    95  0.10000788E+001 0.10000833E-001-0.14266591E-011
    96  0.10000786E+001 0.10000833E-001-0.14266595E-011
    97  0.10000785E+001 0.10000833E-001-0.14266599E-011
    98  0.10000783E+001 0.10000833E-001-0.14266603E-011
    99  0.10000782E+001 0.10000833E-001-0.14266607E-011
   100  0.10000781E+001 0.10000833E-001-0.14266611E-011
   101  0.10000779E+001 0.10000833E-001-0.14266615E-011
   102  0.10000778E+001 0.10000833E-001-0.14266619E-011
   103  0.10000776E+001 0.10000833E-001-0.14266623E-011
   104  0.10000775E+001 0.10000833E-001-0.14266628E-011
   105  0.10000774E+001 0.10000833E-001-0.14266632E-011
   106  0.10000772E+001 0.10000833E-001-0.14266636E-011
   107  0.10000771E+001 0.10000833E-001-0.14266640E-011
   108  0.10000769E+001 0.10000833E-001-0.14266644E-011
   109  0.10000768E+001 0.10000833E-001-0.14266648E-011
   110  0.10000766E+001 0.10000833E-001-0.14266652E-011
   111  0.10000765E+001 0.10000833E-001-0.14266656E-011
   112  0.10000764E+001 0.10000833E-001-0.14266660E-011
   113  0.10000762E+001 0.10000833E-001-0.14266664E-011
   114  0.10000761E+001 0.10000833E-001-0.14266668E-011
   115  0.10000759E+001 0.10000833E-001-0.14266672E-011
   116  0.10000758E+001 0.10000833E-001-0.14266676E-011
   117  0.10000756E+001 0.10000833E-001-0.14266680E-011
   118  0.10000755E+001 0.10000833E-001-0.14266684E-011
   119  0.10000754E+001 0.10000833E-001-0.14266688E-011
